,id,badge
0,379,topCompany
1,357,topCompany
2,356,topCompany
3,358,highlightWomen
4,383,topCompany
5,383,highlightBlack
6,344,topCompany
7,325,topCompany
8,307,topCompany
9,311,topCompany
10,282,isHiring
11,271,topCompany
12,270,isHiring
13,244,topCompany
14,248,topCompany
15,248,isHiring
16,240,topCompany
17,240,isHiring
18,258,isHiring
19,221,topCompany
20,202,topCompany
21,177,topCompany
22,197,topCompany
23,200,highlightWomen
24,181,highlightWomen
25,158,topCompany
26,168,topCompany
27,145,topCompany
28,170,topCompany
29,164,isHiring
30,146,isHiring
31,142,highlightLatinx
32,167,highlightBlack
33,88,topCompany
34,86,topCompany
35,90,isHiring
36,83,highlightWomen
37,82,isHiring
38,76,isHiring
39,73,isHiring
40,72,isHiring
41,110,isHiring
42,102,isHiring
43,40,topCompany
44,40,isHiring
45,30,topCompany
46,8,topCompany
47,8,highlightWomen
48,60,topCompany
49,24,topCompany
50,24,isHiring
51,4940,topCompany
52,5,isHiring
53,19,isHiring
54,1548,isHiring
55,10,highlightWomen
56,65,highlightBlack
57,11,highlightBlack
58,439,topCompany
59,468,topCompany
60,468,isHiring
61,445,topCompany
62,429,topCompany
63,412,topCompany
64,412,highlightLatinx
65,414,topCompany
66,414,isHiring
67,442,topCompany
68,464,isHiring
69,446,highlightWomen
70,444,highlightWomen
71,444,isHiring
72,417,highlightWomen
73,409,isHiring
74,413,highlightWomen
75,458,highlightBlack
76,452,highlightWomen
77,448,highlightLatinx
78,448,highlightWomen
79,498,topCompany
80,482,topCompany
81,475,topCompany
82,516,nonprofit
83,516,highlightWomen
84,508,highlightLatinx
85,508,highlightWomen
86,508,isHiring
87,503,isHiring
88,500,isHiring
89,497,highlightWomen
90,490,isHiring
91,488,isHiring
92,481,isHiring
93,479,isHiring
94,499,highlightWomen
95,485,highlightWomen
96,531,topCompany
97,531,isHiring
98,542,highlightLatinx
99,528,topCompany
100,566,topCompany
101,566,isHiring
102,563,highlightWomen
103,552,isHiring
104,556,highlightLatinx
105,526,highlightWomen
106,521,highlightWomen
107,536,highlightLatinx
108,630,topCompany
109,636,topCompany
110,636,isHiring
111,580,topCompany
112,590,topCompany
113,595,topCompany
114,595,isHiring
115,647,nonprofit
116,642,nonprofit
117,633,nonprofit
118,633,highlightWomen
119,628,isHiring
120,619,highlightBlack
121,619,highlightWomen
122,619,isHiring
123,613,isHiring
124,608,nonprofit
125,597,isHiring
126,588,nonprofit
127,585,nonprofit
128,585,highlightWomen
129,583,isHiring
130,578,highlightBlack
131,578,highlightWomen
132,577,nonprofit
133,577,highlightLatinx
134,577,highlightWomen
135,625,highlightWomen
136,621,highlightWomen
137,729,topCompany
138,729,highlightWomen
139,729,isHiring
140,700,topCompany
141,731,topCompany
142,731,highlightWomen
143,662,topCompany
144,662,isHiring
145,728,topCompany
146,705,topCompany
147,732,nonprofit
148,730,highlightLatinx
