,id,industry
0,379,Consumer
1,379,Content
2,378,B2B
3,378,Productivity
4,375,B2B
5,375,Security
6,374,Fintech
7,374,Consumer Finance
8,373,Consumer
9,373,Social
10,380,B2B
11,380,Analytics
12,377,B2B
13,376,Consumer
14,376,Social
15,357,Consumer
16,357,Gaming
17,356,Consumer
18,356,Content
19,355,B2B
20,355,Productivity
21,365,Consumer
22,365,Social
23,364,Consumer
24,364,Gaming
25,363,Consumer
26,363,Home and Personal
27,362,Consumer
28,362,Social
29,361,Consumer
30,361,Apparel and Cosmetics
31,360,Consumer
32,360,Social
33,359,B2B
34,359,Productivity
35,358,Consumer
36,358,Content
37,370,B2B
38,370,Marketing
39,369,Consumer
40,369,Home and Personal
41,367,B2B
42,367,Infrastructure
43,366,B2B
44,366,Finance and Accounting
45,372,B2B
46,372,Marketing
47,371,Consumer
48,371,Social
49,368,Consumer
50,368,Content
51,383,Consumer
52,383,Content
53,344,B2B
54,344,Marketing
55,347,Fintech
56,347,Consumer Finance
57,343,B2B
58,343,Infrastructure
59,354,Consumer
60,354,Social
61,349,Consumer
62,349,Home and Personal
63,348,B2B
64,348,Productivity
65,346,Industrials
66,346,Manufacturing and Robotics
67,353,Consumer
68,353,Social
69,352,Industrials
70,352,Manufacturing and Robotics
71,351,Consumer
72,351,Social
73,350,Consumer
74,350,Content
75,345,Consumer
76,345,Social
77,325,B2B
78,325,Productivity
79,326,Consumer
80,326,Gaming
81,337,Consumer
82,337,Content
83,336,B2B
84,336,"Engineering, Product and Design"
85,335,B2B
86,335,"Engineering, Product and Design"
87,333,B2B
88,333,Productivity
89,327,B2B
90,327,"Engineering, Product and Design"
91,324,Consumer
92,324,"Travel, Leisure and Tourism"
93,342,Consumer
94,342,Content
95,341,B2B
96,341,"Engineering, Product and Design"
97,340,Consumer
98,340,Content
99,339,Consumer
100,339,Social
101,338,Consumer
102,338,Content
103,334,Consumer
104,334,Social
105,332,B2B
106,332,Marketing
107,331,Consumer
108,331,Social
109,330,Consumer
110,330,Social
111,329,Consumer
112,329,Home and Personal
113,328,Consumer
114,328,Home and Personal
115,307,Consumer
116,307,Gaming
117,311,B2B
118,311,Infrastructure
119,306,B2B
120,306,Infrastructure
121,304,B2B
122,304,Productivity
123,312,B2B
124,312,"Engineering, Product and Design"
125,310,Consumer
126,310,Content
127,305,B2B
128,305,Marketing
129,323,B2B
130,323,"Engineering, Product and Design"
131,322,B2B
132,322,Recruiting and Talent
133,321,B2B
134,321,Productivity
135,320,B2B
136,320,Recruiting and Talent
137,319,Consumer
138,319,Gaming
139,318,Consumer
140,318,Social
141,317,Consumer
142,317,Gaming
143,316,Fintech
144,316,Payments
145,315,Consumer
146,315,Content
147,314,Consumer
148,314,Social
149,313,B2B
150,313,Productivity
151,309,B2B
152,309,Infrastructure
153,308,Consumer
154,308,Gaming
155,303,B2B
156,303,"Engineering, Product and Design"
157,282,B2B
158,282,Analytics
159,291,B2B
160,291,Marketing
161,289,Consumer
