index,program_name,category
1,Electronics And Instrumentation,Engineering 
2,Mathematics,Mathematics and Finance
3,Computer Science,Software and Computer Engineering
4,\N,Marketing and Economics
5,Bachelor Of Science,Engineering 
6,Bachelor’s Degree,Software and Computer Engineering
7,Computer Science And Engineering,Software and Computer Engineering
8,Law And Government,Law and International Relations
9,"Applied Mathematics, Mechanical Engineering",Engineering 
10,Control And Dynamical Systems,Philosophy and Cognitive Studies
11,Civil And Environmental Engineering,Engineering 
12,Summer 14,Engineering 
13,Network Security,Software and Computer Engineering
14,"Computer Science, Minor In Mathematics",Software and Computer Engineering
15,Biorobotics,Molecular and Biological Sciences
16,Electrical Engineering,Engineering 
17,Biomedical Engineering,Engineering 
18,Computer Networks,Software and Computer Engineering
19,Electronics And Communications Engineering,Engineering 
20,Information Science,Information and Data Management
21,"History, Biology",History and Social Sciences
22,Disruptive Strategy,Marketing and Economics
23,"Economics, Computer Science",Mathematics and Finance
24,Structural Engineering,Engineering 
25,Civil Engineering,Engineering 
26,Political Science,History and Social Sciences
27,"Human Evolutionary Biology, Computer Science",Software and Computer Engineering
28,"Biochemistry Biochemistry, Chemistry, Physics",Molecular and Biological Sciences
29,Electrical And Electronics Engineering,Engineering 
30,Psychology,Psychology and Counseling
31,Integrated Strategy,International Business and Finance
32,"International Studies, Focus On Brazil / Portuguese Language",Cultural and Regional Studies
33,Public Policy Studies / International Relations,Law and International Relations
34,Information Systems Management,Information and Data Management
35,Education,Engineering 
36,American Poverty,Marketing and Economics
37,Entrepreneurship,Marketing and Economics
38,Industrial Engineering,Engineering 
39,W20,Engineering 
40,Industrial Engineer,Engineering 
41,Marketing And Economics,Marketing and Economics
42,Computer Engineering,Software and Computer Engineering
43,Engineering,Engineering 
44,Design,Engineering 
45,Computer Science And Electrical Engineering,Software and Computer Engineering
46,Political Science/ Pre Pharmacy,History and Social Sciences
47,"Electrical And Computer Engineering, Computational Finance",Mathematics and Finance
48,New Media Design,Engineering 
49,Chemical With Nuclear Engineering,Sustainable Energy Engineering
50,Electrical Engineering And Computer Science,Software and Computer Engineering
51,"Finance, Financial Engineers",Mathematics and Finance
52,Electronics And Communication Engineering,Engineering 
53,High School,Engineering 
54,General Studies,General Sciences
55,Science,General Sciences
56,Classics Diploma,Engineering 
57,Symbolic Systems,Software and Computer Engineering
58,"Mechanical Engineering, Manufacturing Engineering, Design",Engineering 
59,Learning And Organizational Change,Marketing and Economics
60,"Learning, Design, And Technology",Engineering 
61,Computer Science And Business,Software and Computer Engineering
62,Economics,Marketing and Economics
63,Digital Design And Communication,Engineering 
64,"Economics, Entrepreneurial Leadership",Marketing and Economics
65,Programming Maintenance Of It,Software and Computer Engineering
66,Mechanical Engineering,Engineering 
67,Electronics Engineering,Engineering 
68,Ba,Engineering 
