,id,tag
0,379,Community
1,379,Social Media
2,379,Social
3,379,Social Network
4,378,Calendar
5,357,Gaming
6,357,Social
7,356,AI-Enhanced Learning
8,356,Remote Work
9,356,Edtech
10,363,Marketplace
11,363,E-Commerce
12,362,Market Research
13,358,Collaboration
14,358,Social Network
15,358,Music
16,370,SaaS
17,370,Productivity
18,368,Media
19,383,Community
20,383,Gaming
21,383,Social Media
22,383,Video
23,383,Social Network
24,347,Fintech
25,354,Community
26,354,Messaging
27,348,Documents
28,348,SaaS
29,348,B2B
30,348,Productivity
31,346,Electronics
32,345,Messaging
33,333,Media
34,327,Community
35,338,Music
36,334,Investing
37,334,Stocks
38,332,Marketing
39,307,Gaming
40,306,DevOps
41,304,Developer Tools
42,304,SaaS
43,310,Video
44,310,Media
45,305,Gaming
46,316,Payments
47,316,Social
48,315,Social
49,315,Music
50,282,SaaS
51,291,SaaS
52,291,Data Engineering
53,289,Artificial Intelligence
54,289,ML
55,281,Email
56,302,Media
57,302,Social
58,298,Marketplace
59,298,E-Commerce
60,298,Music
61,295,Proptech
62,290,Social
63,288,Climate
64,271,Marketplace
65,271,Travel
66,270,Airlines
67,268,Sustainability
68,274,Music
69,273,Email
70,267,Advertising
71,266,Productivity
72,244,Fintech
73,248,B2B
74,248,Analytics
75,248,Data Visualization
76,248,Cloud Computing
77,248,Databases
78,240,Banking as a Service
79,240,Fintech
80,240,SaaS
81,259,Education
82,258,Marketplace
83,258,Real Estate
84,249,Sales
85,249,Customer Service
86,249,Chat
87,245,Artificial Intelligence
88,245,Machine Learning
89,245,Recommendation System
90,239,Marketplace
91,239,Crypto / Web3
92,250,Hardware
93,250,IoT
94,246,Open Source
95,257,Developer Tools
96,253,Social
97,253,Recommendation System
98,252,Psychedelics
99,251,Marketplace
100,251,Automotive
101,241,Video
102,221,Marketing
103,226,Marketing
104,226,SMB
105,231,Real Estate
106,231,Data Visualization
107,223,Video
108,223,API
109,219,Marketplace
110,219,Design
111,216,Video
112,215,Documents
113,215,SaaS
114,214,Video
115,214,Media
116,213,Marketing
117,222,Media
118,202,DevOps
119,202,Monitoring
120,177,Food Service Robots & Machines
121,177,Restaurant Tech
122,197,Fintech
123,201,Productivity
124,201,Note-taking
125,200,FinOps
126,200,Analytics
127,198,Open Source
128,198,DevOps
129,198,Enterprise Software
130,188,E-Commerce
131,188,Food & Beverage
132,187,Marketing
133,187,SEO
134,181,Education
135,181,Community
136,181,Recruiting
137,209,Analytics
138,209,Advertising
139,206,Social Network
140,194,Analytics
141,193,Computer Vision
142,192,Community
143,191,Marketplace
144,186,Marketplace
145,186,Real Estate
146,183,Collaboration
147,183,Security
148,183,Enterprise
149,180,Productivity
150,180,Email
151,178,Travel
152,176,Analytics
153,211,Gaming
154,210,Social
155,204,Messaging
156,204,Social
157,203,Fintech
158,199,Email
159,195,Media
160,190,Productivity
161,189,Design Tools
162,185,Health & Wellness
163,184,Marketplace
164,184,Design
165,179,AI-powered Drug Discovery
166,158,Fintech
167,158,Marketplace
168,168,Marketplace
169,145,SaaS
170,145,Enterprise Software
171,170,Healthcare
172,170,Telemedicine
173,170,API
174,172,SaaS
175,172,E-commerce
176,171,Food Tech
177,164,Gaming
178,160,SaaS
179,160,B2B
180,149,Fintech
181,149,Payments
182,147,SaaS
183,147,Real Estate
184,141,Developer Tools
185,141,Design Tools
186,138,E-Commerce
